id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
5819,Housing,"Costs (Mortgage, Taxes, Insurance)",0.94,"[{'topic': 'Housing', 'subtopic': 'Expenses'}]","Asks for reasons payments change on the mortgage, which explains variability in mortgage costs and housing expenses.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks why mortgage payments change, which relates to understanding mortgage cost variations and terms."
5820,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Asks why a mortgage/loan payment changed, which pertains to mortgage-related costs and payment components.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question directly addresses reasons for changes in mortgage or loan payments, which are housing costs."
5821,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]",Refinancing to receive cash is a mortgage financing action tied to mortgage costs and homeowner financing decisions.,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question asks about mortgage refinancing for cash, which relates to housing costs and financial decisions."
5822,Housing,"Costs (Mortgage, Taxes, Insurance)",0.88,"[{'topic': 'Housing', 'subtopic': 'Home Value'}]","Asks for the dollar amount received from a refinance (cash-out), which is a mortgage/finance amount related to housing value/equity.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.88,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question asks about the amount of cash received from refinancing, directly related to mortgage costs and housing finance."
5823,Housing,Construction,0.9,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Asks what percent of the mortgage/loan was used for additions, improvements, or repairs, which relates to home construction/improvement spending and mortgage allocation.",Housing,Construction,0.89,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about the portion of mortgage funds used for home improvements and repairs, relating to housing construction and costs."
5824,Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","Asks about the total credit limit on a line of credit tied to a mortgage, a mortgage/loan financing detail relevant to housing costs and homeowner financing.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.85,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question asks about credit limit on a line of credit related to mortgage or loan, which is a housing finance cost consideration."
5825,Housing,Construction,0.9,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Asks whether mortgage/loan funds were used for additions, improvements, or repairs, which directly relates to construction/improvement use of housing funds.",Housing,Construction,0.9,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about use of mortgage funds for home additions, improvements, or repairs, directly related to housing construction."
5826,Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Asks if property tax is included in the payment, a direct question about how mortgage or housing payments cover taxes and costs.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.93,[],"Question asks whether property tax is included in mortgage payments, which is a direct housing cost component."
5827,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","Asks whether the household has homeowner's insurance, which is an insurance/cost aspect of housing and homeowner status.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,[],"Question asks about homeowner's insurance coverage, which is a primary housing cost component."
5828,Housing,"Costs (Mortgage, Taxes, Insurance)",0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Asks whether homeowner's insurance is included in payments, a question about inclusion of insurance in mortgage/housing payments.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.94,[],"Question asks whether homeowner's insurance is included in mortgage payments, directly addressing housing costs."
5829,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Expenditures'}]","Requests the total cost of homeowner's insurance (over a reference period), which is a housing cost/expenditure item.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Expenditures'}]","Question asks about the total cost of homeowner's insurance, which is a housing cost component."
5830,Housing,Structure,0.9,"[{'topic': 'Housing', 'subtopic': 'Year Moved In'}]","Question asks whether a manufactured/mobile home will be moved, which pertains to the physical structure and its relocation; this is related to movement timing so Year Moved In is a secondary consideration.",Housing,Structure,0.92,"[{'topic': 'Housing', 'subtopic': 'Housing'}]","Question asks about whether a manufactured/mobile home will be moved, which relates to the structural characteristics and mobility of the housing unit."
5831,Housing,Tenure (Own/Rent),0.95,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]",Asking if the respondent owns the land is directly about tenure (own vs. rent) and implies homeowner status.,Housing,Tenure (Own/Rent),0.95,"[{'topic': 'Housing', 'subtopic': 'Homeownership'}]","Question directly asks about land ownership, which is a fundamental tenure characteristic distinguishing owned from rented housing."
5832,Housing,Tenure (Own/Rent),0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","The question clarifies whether the land is owned or rented, which is tenure, and also concerns paying rent which relates to housing costs.",Housing,Tenure (Own/Rent),0.95,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question clarifies land ownership and rental status, asking whether rent is paid for land in a manufactured home context."
5833,Housing,Housing Costs,0.95,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","This asks about the frequency and amount of land/site rent, which are housing costs specifically tied to rental payments.",Housing,Housing Costs,0.94,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about land/site rent frequency and cost, which are direct housing cost components for manufactured home residents."
5834,Housing,Housing Costs,0.9,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","The question asks whether the respondent pays a manufactured/mobile home park fee, which is a recurring housing cost often associated with rental/land-lease situations.",Housing,Housing Costs,0.93,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about manufactured/mobile home park fees, which are recurring housing-related costs for residents."
5835,Housing,Housing Costs,0.95,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","This asks about the frequency and amount of park fees, which are recurring housing costs tied to rental or site fees.",Housing,Housing Costs,0.93,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about frequency and amount of park fees, which are housing cost components."
5836,Housing,Housing Costs,0.9,"[{'topic': 'Housing', 'subtopic': 'Utilities'}, {'topic': 'Housing', 'subtopic': 'Homeowner'}]","The question asks about required fees for utility hookups and association fees, which are housing-related costs and relate to utilities and homeowner/association obligations.",Housing,Housing Costs,0.92,"[{'topic': 'Housing', 'subtopic': 'Utilities'}, {'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about required fees for utilities and associations, which are housing-related costs and expenses."
5837,Housing,Housing Costs,0.95,"[{'topic': 'Housing', 'subtopic': 'Utilities'}]","This asks about frequency and cost of required fees (e.g., hookups), which are housing costs often associated with utilities.",Housing,Housing Costs,0.93,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about frequency and cost of required fees, which are housing cost components."
5838,Housing,Housing Costs,0.9,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","The question concerns required association (HOA) fees and their payment frequency, which are housing costs tied to homeowner/association status.",Housing,Housing Costs,0.92,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about homeowner association fees and their frequency, which are housing-related costs."
5839,Housing,Housing Costs,0.95,"[{'topic': 'Housing', 'subtopic': 'Homeowner'}]","This asks for the periodic cost of homeowner association fees (combined if applicable), clearly a recurring housing cost related to homeowner associations.",Housing,Housing Costs,0.93,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about the cost of homeowner association fees, which are housing cost components that should be reported as combined required fees."
5840,Housing,Housing Costs,0.9,"[{'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Asks whether the household pays land rent, which is a housing cost distinct from mortgage or ownership status.",Housing,Rental,0.95,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}, {'topic': 'Housing', 'subtopic': 'Tenure (Own/Rent)'}]","Question asks whether household pays rent for land in owner-occupied property, directly addressing rental arrangements and housing tenure."
5841,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Asks whether land rent is included with the mortgage payment, directly relating to mortgage and related housing cost components.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.92,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Question asks about whether land rent is included in mortgage payment, addressing housing cost structure and payment arrangements."
5842,Housing,Housing Costs,0.85,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","Asks about the frequency of land rent payments, a recurring housing cost (rent) detail.",Housing,Housing Costs,0.93,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about frequency of land rent payments, which is a component of housing costs."
5843,Housing,Housing Costs,0.85,[],"Asks for the cost per time interval, which is a direct question about a housing expense.",Housing,Housing Costs,0.94,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about the cost amount of land rent at specified intervals, directly measuring housing expenses."
5844,Housing,Rental,0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}]","Asks how often rent is due for the respondent's housing unit, a rental-related question about payment frequency and cost.",Housing,Housing Costs,0.93,"[{'topic': 'Housing', 'subtopic': 'Rental'}, {'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}]","Question asks about frequency of rent payments for the housing unit, addressing housing cost payment schedules."
5845,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Rental'}]","Asks whether the household has renter's property insurance, which is an insurance/cost item associated with housing.",Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Housing Costs'}, {'topic': 'Housing', 'subtopic': 'Rental'}]","Question asks about renter's property insurance, which is a housing-related insurance cost for renters."
5846,Housing,"Costs (Mortgage, Taxes, Insurance)",0.9,"[{'topic': 'Housing', 'subtopic': 'Expenditures'}]","Asks for the total cost in the past 12 months (likely referring to insurance or related housing cost), a housing expense question.",Housing,Housing Costs,0.88,"[{'topic': 'Housing', 'subtopic': 'Costs (Mortgage, Taxes, Insurance)'}, {'topic': 'Housing', 'subtopic': 'Expenditures'}]","Question asks about total housing cost over a 12-month period, measuring annual housing expenditures."
